ID,1,Type,2,Attack,3,Variant,Threat Level,Summary,Examples,Countermeasure
1,1,Social Engineering Attack,1,Phishing,,,Tiger,A fraudulent attempt to obtain sensitive information by pretending to be a trustworthy entity via electronic communication.,"Fake login pages, deceptive emails, fraudulent SMS messages.","Use email filtering, enable multi-factor authentication (MFA), train users to recognize phishing attempts."
2,1,Social Engineering Attack,1,Phishing,1,Spear Phishing,Demon,A highly targeted phishing attack that uses personalized information to trick the victim into revealing sensitive data.,"Business email compromise, CEO fraud, targeted malware emails.","Verify email sender identity, avoid clicking on suspicious links, use email authentication mechanisms (SPF, DKIM, DMARC)."
3,1,Social Engineering Attack,1,Phishing,2,Whaling,Demon,"A spear-phishing attack specifically aimed at high-profile individuals, such as executives or government officials, to steal information or gain access to systems.","Executive impersonation scams, fraudulent wire transfer requests.","Educate executives on targeted phishing tactics, verify financial transactions via a second channel, implement email security solutions."
4,1,Social Engineering Attack,1,Phishing,3,Smishing,Tiger,"A phishing attack conducted via SMS or text messages, attempting to lure victims into revealing personal or financial information.","Fake delivery notifications, fraudulent banking alerts.","Avoid clicking on links in unsolicited messages, verify messages with the official organization, use SMS filtering tools."
5,1,Social Engineering Attack,1,Phishing,4,Vishing,Tiger,"A form of phishing attack conducted via phone calls, where attackers impersonate trusted entities to extract sensitive information from the victim.","Tech support scams, IRS scams, fake bank calls.","Verify caller identity before providing information, do not share sensitive data over the phone, use call authentication tools."
6,1,Social Engineering Attack,2,Pretexting,,,Tiger,An attack where an attacker fabricates a scenario to obtain sensitive information from a victim by gaining their trust.,"Posing as IT support to request login credentials, fake law enforcement calls demanding information.","Verify caller identity, limit the information shared over the phone, train employees to recognize pretexting attempts."
7,1,Social Engineering Attack,3,Baiting,,,Tiger,"A social engineering attack that entices victims with something desirable, leading them to unknowingly compromise their security.","Malware-laced USB drives left in public places, fake software download offers.","Avoid inserting unknown USB drives, download software only from trusted sources, use endpoint protection software."
8,1,Social Engineering Attack,4,Tailgating/Piggybacking,,,Wolf,A physical security breach where an attacker gains unauthorized access to a restricted area by following an authorized individual.,"Following an employee through a secure door without a badge, impersonating a delivery person to gain access.","Implement badge access controls, train employees to challenge unauthorized individuals, use security personnel at entry points."
9,2,Web & Application-Based Attack,1,SQL Injection (SQLi),,,Dragon,An attack that involves injecting malicious SQL statements into a database query to manipulate or extract unauthorized data.,"Tampering with login forms, extracting sensitive database information.","Use parameterized queries, employ web application firewalls (WAF), validate and sanitize user input."
10,2,Web & Application-Based Attack,2,Cross-Site Scripting (XSS),,,Demon,"A vulnerability that allows attackers to inject malicious scripts into web applications, which are then executed by unsuspecting users.","Malicious JavaScript injections, session hijacking via scripts.","Sanitize user input, use Content Security Policy (CSP), encode output data."
